Code,Species,CommonName,Family,Form,Syn
MILA,Microseris lacinata,cut-leaved microseris,Asteraceae,F,
MILAD,Microseris laciniata ssp. detlingii,Detling's microseris,Asteraceae,F,
MILAL,Microseris laciniata ssp. laciniata,cut-leaved microseris,Asteraceae,F,
MILAS,Microseris laciniata ssp. siskiyouensis,Siskiyou microseris,Asteraceae,F,
MILE,Mimulus lewisii,Lewis's monkeyflower,Phrymaceae,F,
MIMA?,Micranthes marshallii,Marshall's saxifrage,Saxifragaceae,F,Saxifraga marshallii
MIMO,Mimulus moschatus,musk flower,Phrymaceae,F,
MINA,Mimulus nanus,dwarf monkeyflower,Phrymaceae,F,
MINU,Microseris nutans,nodding microseris,Asteraceae,F,
MIOD2,Micranthes odontoloma,mountain meadow saxifrage,Saxifragaceae,F,Saxifraga arguta
MIOR2,Micranthes oregana,Oregon saxifrage,Saxifragaceae,F,Saxifraga oregana
MIOV,Mitella ovalis,saucer mitrewort,Saxifragaceae,F,
MIPE,Mitella pentandra,alpine mitrewort,Saxifragaceae,F,
MIPU,Minuartia pusilla,dwarf sandwort,Caryophyllaceae,F,
MITR2,Mitella trifida,three-tooth mitrewort,Saxifragaceae,F,
MOCH,Montia chamissoi,toad lily,Montiaceae,F,
MODI2,Montia dichotoma,dwarf miner's lettuce,Montiaceae,F,
MODI3,Montia diffusa,branching montia,Montiaceae,F,
MOEN,Moenchia erecta,moenchia,Caryophyllaceae,F,
MOFO,Montia fontana,annual water miners lettuce,Montiaceae,F,
MOOD,Monardella odoratissima,western balm,Laminaceae,F,Monardella glauca
MOHO,Montia howellii,Howell's montia,Montiaceae,F,
MOHY,Monotropa hypopithys,American pinesap,Ericaceae,F,
MOLI,Montia linearis,narrow-leaved montia,Montiaceae,F,
MOMA,Moehringia macrophylla,big-leaf sandwort,Caryophyllaceae,F,
MOOD,Monardella odoratissima,western balm,Laminaceae,F,
MOPA2,Montia parvifolia,littleleaf montia,Montiaceae,F,
MOPU2,Monardella purpurea,Siskiyou monardella,Laminaceae,F,
MOVIS2,Monardella villosa ssp. sheltonii,Shelton's monardella,Lamiaceae,F,Monardella sheltonii
MOUN,Monotropa uniflora,Indian pipe,Ericaceae,F,
MOVI,Monardella villosa,coyote-mint,Laminaceae,F,
MOVIS2,Monardella villosa ssp. sheltonii,Shelton's monardella,Lamiaceae,F,Monardella sheltonii
MUFI2,Muhlenbergia filiformis,mat muhly,Poaceae,GG,
MYDI,Myosotis discolor,yellow & blue scorpion-grass,Boraginaceae,F,
MYMI,Myosurus minimus,least mouse-tail,Ranunculaceae,F,
MYMU,Mycelis muralis,wall-lettuce,Asteraceae,F,Lactuca muralis
NACA,Narthecium califoricum,bog asphodel,Nartheciaceae,F,
NACA6,Navarretia capillaris,smooth-leaved gilia,Polemoniaceae,F,Gilia capillaris
NADID,Navarretia divaricata ssp. divaricata,divaricate navarretia,Polemoniaceae,F,
NAHE,Navarretia heterandra,Tehama navarretia,Polemoniaceae,F,
NAIN2,Navarretia intertexta,needle-leaf navarretia,Polemoniaceae,F,
NAINP3,Navarretia intertexta ssp. propinqua,near navarretia,Polemoniaceae,F,
NAOF,Nasturtium officinale,watercress,Brassicaceae,F,Rorippa nasturtium-aquaticum
NASIS,Navarretia sinistra ssp. sinistra,sinister gilia,Polemoniaceae,F,Gilia sinistra ssp. sinistra
NASQ,Navarretia squarrosa,skunkweed,Polemoniaceae,F,
NASU,Navarretia subuligera,awl-leaf navarretia,Polemoniaceae,F,
NATA3,Navarretia tagetina,marigold navarretia,Polemoniaceae,F,
NECA,Nemacladus capillaris,common nemacladus,Campanulaceae,F,
NEME,Nemophila menziesii,large-flowered nemophila,Boraginaceae,F,
NEPA,Nemophila parviflora,small-flowered nemophila,Boraginaceae,F,
NEPE,Nemophila pedunculata,meadow nemophila,Boraginaceae,F,
NOFEG,Noccaea fendleri ssp. glauca,Fendler's pennycress,Brassicaceae,F,Thlaspi fendleri/montanum
NOFES,Noccaea fendleri ssp. siskiyouense,Siskiyou Mountain pennycress,Brassicaceae,F,Thlaspi montanum var. siskiyouense
NONE,Nothochelone nemorosa,woodland penstemon,Plantaginaceae,F,
NUPO,Nuphar polysepalum,Indian pond lily,Nymphaeaceae,F,
OECE,Oemleria cerasiformis,"Indian plum" or "osoberry",Rosaceae,F,
OESA,Oenanthe sarmentosa,water parsley,Apiaceae,F,
OLDOD,Olsynium douglasii var. douglasii,purple-eyed grass,Iridaceae,F,Sisyrinchium douglasii
CAAT25,Castilleja attenuata,attenuate Indian paintbrush,Orobancaceae,F,Orthocarpus attenuatus
ORBR,Orthocarpus bracteosus,bracted owl-clover,Orobancaceae,F,
ORCUC,Orthocarpus cuspidatus ssp. copelandii,Copeland's owl-clover,Orobancaceae,F,Orthocarpus copelandii var. copelandii
ORCUC3,Orthocarpus cuspidatus ssp. cuspidatus,broad-scaled owl-clover,Orobancaceae,F,
ORCUC,Orthocarpus cuspidatus ssp. copelandii,Copeland's owl-clover,Orobancaceae,F,Orthocarpus copelandii var. copelandii
ORFA,Orobanche fasciculata,clustered broomrape,Orobanchaceae,F,
CATE26,Castilleja tenuis,hairy owl clover,Orobancaceae,F,Orthocarpus hispidus
ORIM,Orthocarpus imbricatus,mountain owl-clover,Orobancaceae,F,
ORPI2,Orobanche pinorum,,Orobanchaceae,F,
TRPU16,Tryphysaria pusilla,dwarf owls-clover,Orobancaceae,F,Orthocarpus pusillus
ORSE,Orthelia secunda,one-sided pyrola,Ericaceae,F,Pyrola secunda
ORTHO,Orthocarpus sp.,owls-clover,Orobancaceae,F,
ORUN,Orobanche uniflora,naked broomrape,Orobanchaceae,F,
OSBE,Osmorhiza berteroi,mountain sweet-root,Apiaceae,F,Osmorhiza chilensis
OSBE,Osmorhiza berteroi,mountain sweet-root,Apiaceae,F,Osmorhiza chilensis
OSOC,Osmorhiza occidentalis,western sweet-root,Apiaceae,F,
OXDI,Oxyria digyna,mountain sorrel,Polygonaceae,F,
OXOC,Oxypolis occidentalis,cow bane,Apiaceae,F,
OXOR,Oxalis oregana,redwood sorrel,Oxalidaceae,F,
OXSU,Oxalis sudsdorfii,western yellow oxalis,Oxalidaceae,F,
DIACF,Dichanthelium acuminatum var. fasciulatum,Pacific panicum,Poaceae,GG,Panicum acuminatum 
PABOB,Packera bolanderi var. bolanderi,Bolander's butterweed,Asteraceae,F,Senecio bolanderi
PABR,Paeonia brownii,western peony,Paeoniaceae,F,
PACA15,Pacekera cana,wooly grounsel,Asteraceae,F,Pacekera cana
PACA6,Panicum capillare,witchgrass,Poaceae,GG,
PACA18,Parnassia californica,California grass-of-parnassus,Celastraceae,F,
PAHE11,Packera hespera,Siskiyou butterweed,Asteraceae,F,Senecio hesperius
PAMA35,Packera macounii,Siskiyou Mountain ragwort,Asteraceae,F,Senecio macounii
PAMY,Paxistima myrsinites,Oregon boxwood,Celastraceae,S,
PEAM8,Persicaria amphibia,longroot smartweed,Polygonaceae,F,Polygonum amphibium var. stipulaceum
PEAN2,Pellaea andromedifolia,coffee fern,Pteridaceae,FN,
PEAN3,Penstemon anguineus,Siskiyou penstemon,Plantaginaceae,F,
PEAZ,Penstemon azureus,azure penstemon,Plantaginaceae,F,
PEBO,Perideridia bolanderi,Bolander's yampah,Apiaceae,F,
PEBR2,Pellaea brachyptera,Sierra cliff-brake,Pteridaceae,FN,
PEDA,Penstemon davidsonii,Davidson's penstemon,Plantaginaceae,F,
PEDE,Pedicularis densiflora,Indian warrior,Orobancaceae,F,
PEDE2,Penstemon deustus,hot rock penstemon,Plantaginaceae,F,
PEER3,Perideridia erythrorhiza,red-rooted yampah,Apiaceae,F,
PEFRF,Petasites frigidus var. frigidus,sweet coltsfoot,Asteraceae,F,
PEFRP,Petasites frigidus var. palmatus,western coltsfoot,Asteraceae,F,
PEMO7,Perideridia montana,Gairdner's yampah,Apiaceae,F,Perideridia gairdneri
PEHO5,Perideridia howellii,Howell's false caraway,Apiaceae,F,
PELAS,Penstemon laetus var. sagittatus,gay penstemon,Plantaginaceae,F,
PEMO7,Perideridia montana,Gairdner's yampah,Apiaceae,F,Perideridia gairdneri
PEMUM,Pellaea mucronata ssp. mucronata,Bird's-foot fern,Pteridaceae,FN,
PENST,Penstemon sp.,,Plantaginaceae,F,
PEOR2,Perideridia oregana,Oregon yampah,Apiaceae,F,
PEPU,Pectocarya pusilla,little pectocarya,Boraginaceae,F,
PERA,Pedicularis racemosa,leafy lousewort,Orobancaceae,F,
PERID,Perideridia sp.,yampah,Apiaceae,F,
PERO12,Penstemon roezlii,purple penstemon,Plantaginaceae,F,
PERU,Penstemon rupicola,rock penstemon,Plantaginaceae,F,
PESP,Penstemon speciosus,showy penstemon,Plantaginaceae,F,
PETR7,Pentagramma triangularis,gold-back fern,Pteridaceae,F,
PHAD2,Phlox adsurgens,woodland phlox,Polemoniaceae,F,
PHAL,Phleum alpinum,mountain timothy,Poaceae,GG,
PHAR3,Phalaris arundinacea,reed canarygrass,Poaceae,GG,
PHCA11,Physocarpus capitatus,Pacific ninebark,Rosaceae,S,
PHCH,Phoenicaulis cheiranthoides,dagger-pod,Brassicaceae,F,
PHCO3,Phacelia corymbosa,serpentine phacelia,Boraginaceae,F,
PHDI3,Phlox diffusa,spreading phlox,Polemoniaceae,F,
MIGRG4,Microsteris gracilis var. gracilis,pink annual phlox,Polemoniaceae,F,Phlox gracilis
PHHA,Phacelia hastata,silverleaf phacelia,Boraginaceae,F,
PHHE2,Phacelia heterophylla,varileaf phacelia,Boraginaceae,F,
PHLE4,Philadelphus lewisii,Lewis' mockorange,Hydrangeaceae,S,
PHLI,Phacelia linearis,narrow-leaved phacelia,Boraginacae,F,
PHMU2,Phacelia mutabilis,variable phacelia,Boraginaceae,F,
PHPR3,Phleum pratense,common timothy,Poaceae,GG,
PHRA2,Phacelia ramosissima,branching phacelia,Boraginaceae,F,
PHSP,Phlox speciosa,showy phlox,Polemoniaceae,F,
PHVE3,Phacelia verna,spring phacelia,Boraginaceae,F,
PHVI9,Phorodendron villosum,Pacific mistletoe,Santalaceae,F,
PIAT,Pinus attenuata,knobcone pine,Pinaceae,TC,
PIBR,Picea breweri,Brewer's spruce,Pinaceae,TC,
PICA13,Piperia candida,rein orchid,Orchidaceae,F,
PICA9,Pityopus californicus,California pinefoot,Ericaceae,F,
PICOL,Pinus contorta var. latifolia,lodgepole pine,Pinaceae,TC,
PIEL2,Piperia elegans,elegant piperia,Orchidaceae,F,
PIEN,Picea engelmannii,Engelmann spruce,Pinaceae,TC,
PIJE,Pinus jeffreyi,Jeffrey pine,Pinaceae,TC,
PILA,Pinus lambertiana,sugar pine,Pinaceae,TC,
PILE,Piperia leptopetala,unknown,Orchidaceae,F,
PIMO3,Pinus monticola,western white pine,Pinaceae,TC,
PIPER,Piperia sp.,rein orchid,Orchidaceae,F,
PIPO,Pinus ponderosa,ponderosa pine,Pinaceae,TC,
PITR3,Piperia transversa,rein orchid,Orchidaceae,F,
PIUN,Piperia unalascensis,Alaska reinorchid,Orchidaceae,F,
PIVUM,Pinguicula vulgaris ssp. macroceras,common butterwort,Lentibulariaceae,F,
PLAGIO,Plagiobothrys sp.,popcorn flower,Boraginaceae,F,
PLAU,Plagiobothrys austiniae,Austin's popcornflower,Boraginaceae,F,
PLBR6,Plectritis brachystemum,shortspur seablush,Valerianaceae,F,
PLCI,Plectritis ciliosa,longspur seablush,Valerianaceae,F,
PLHI7,Plagiobothrys hispidulus,sleeping popcornflower,Boraginaceae,F,Plagiobothrys cognatus
PLCO4,Plectritis congesta,rosy cornsalad,Valerianaceae,F,
PLDIL,Platanthera dilatata var. leucostachys,white-flowered bog-orchid,Orchidaceae,F,Platanthera leucostachys
PLECT,Plectritis sp.,plectritis,Valerianaceae,F,
PLFI,Pleuricospora fimbriolata,fimbriate pinesap,Ericaceae,F,
PLFIC,Plagiobothrys figuratus corallicarpus,coral-seeded allocarya,Boraginaceae,F,
PLFU,Plagiobothrys fulvus,fulvous popcornflower,Boraginaceae,F,
PLGL2,Plagiobothrys glyptocarpus,sculptured allocarya,Boraginaceae,F,
PLGR,Plagiobothrys greenei,Greene's popcorn flower,Boraginaceae,F,
PLHI7,Plagiobothrys hispidulus,sleeping popcornflower,Boraginaceae,F,Plagiobothrys cognatus
PLHU2,Platanthera huronensis,green-flowered bog-orchid,Orchidaceae,F,Platanthera hyperborea
PLHU2,Platanthera huronensis,green-flowered bog-orchid,Orchidaceae,F,Platanthera hyperborea
PLLA,Plantago lanceolata,English plantain,Plantaginaceae,F,
PLDIL,Platanthera dilatata var. leucostachys,white-flowered bog-orchid,Orchidaceae,F,Platanthera leucostachys
PLMA,Plantago major,broadleaf plantain,Plantaginaceae,F,
PLMA4,Plectritis macrocera,desert plectritis,Valerianaceae,F,
PLNO,Plagiobothrys nothofulvus,rusty popcorn flower,Boraginaceae,F,
PLRE,Pleuropogon refractus,nodding semaphore,Poaceae,GG,
PLSH,Plagiobothrys shastensis,Shasta popcornflower,Boraginaceae,F,
PLSP2,Platanthera sparsiflora,sparse-flowered bog-orchid,Orchidaceae,F,
PLST,Platanthera stricta,slender bog-orchid,Orchidaceae,F,
PLTE,Plagiobothrys tenellus,slender popcorn flower,Boraginaceae,F,
PEAM8,Persicaria amphibia,longroot smartweed,Polygonaceae,F,Polygonum amphibium var. stipulaceum
POAN,Poa annua,annual bluegrass,Poaceae,GG,
POAV,Polygonum aviculare,yard knotweed,Polygonaceae,F,
POTR15,Populus trichocarpa,black cottonwood,Salicaceae,TB,Populus balsamifera ssp. trichocarpa
BIBI?,Bistorta bistortoides,American knotweed,Polygonaceae,F,Polygonum bistortoides
POBU,Poa bulbosa,bulbous bluegrass,Poaceae,GG,
POCA25,Polystichum califoricum,California sword fern,Dryopteridaceae,FN,
POCA4,Polemonium carneum,great or salmon polemonium,Polemoniaceae,F,
POCA5,Polygala californica,California milkwort,Polygalaceae,F,
POCA7,Polygonum californicum,California knotweed,Polygonaceae,F,
POCOC,Polygonum polygaloides ssp. confertiflorum,fruitleaf knotweed,Polygonaceae,F,Polygonum confertiflorum
POCOC,Polygonum polygaloides ssp. confertiflorum,fruitleaf knotweed,Polygonaceae,F,Polygonum confertiflorum
PODO4,Polygonum douglasii,Douglas's knotweed,Polygonaceae,F,
POFEL,Poa fendleriana ssp. longiligula,longtongue mutton grass,Poaceae,GG,
POGL8,Polypodium glycyrrhiza,licorice fern,Polypodiaceae,FN,
DRGL7,Drymocallis glandulosa var. glandulosa,sticky cinquefoil,Rosaceae,F,Potentilla glandulosa ssp. glandulosa
DRRH?,Drymocallis rhomboidea,sticky cinquefoil,Rosaceae,F,Potentilla glandulosa globosa
POGR9,Potentilla gracilis,northwest cinquefoil,Rosaceae,F,
POHE3,Polypodium hesperium,Columbia fern,Polypodiaceae,FN,
POHO6,Poa howellii,annual poa,Poaceae,GG,
POIM,Polystichum imbricans,imbricate sword fern,Dryopteridaceae,FN,
POLE5,Polystichum lemmonii,Shasta fern,Dryopteridaceae,FN,
POMU,Polystichum munitum,sword fern,Dryopteridaceae,FN,
POOC?,Poteridium occidentale,western  burnet,Rosaceae,F,Sanguisorba occidentalis
POPA2,Poa palustris,fowl bluegrass,Poaceae,GG,
ACPH2,Aconogonon phytolaccifolium,poke knotweed,Polygonaceae,F,Polygonum phytolaccifolium
POPI2,Poa piperi,Piper's bluegrass,Poaceae,GG,
POPR,Poa pratensis,Kentucky bluegrass,Poaceae,GG,
POPU3,Polemonium pulcherrimum,showy polemonium,Polemoniaceae,F,
PORH,Poa rhizomata,rhizome bluegrass,Poaceae,GG,
POSE,Poa secunda,one-sided bluegrass,Poaceae,GG,Poa sandbergii
POSAP?,Poterium sanguisorba var. polygamum,garden burnet,Rosaceae,F,Sanguisorba minor ssp. muricata
POSC4,Polypodium scouleri,leather-leaf fern,Polypodiaceae,FN,
POSE,Poa secunda,one-sided bluegrass,Poaceae,GG,
POTR2,Poa trivialis,rough bluegrass,Poaceae,GG,
POTR15,Populus trichocarpa,black cottonwood,Salicaceae,TB,Populus balsamifera ssp. trichocarpa
POTR5,Populus tremuloides,quaking aspen,Salicaceae,TB,
POWH2,Poa wheelleri,Wheeler's bluegrass,Poaceae,GG,
PREM,Prunus emarginata,bittercherry,Rosaceae,S,
PRHO2,Prosartes hookeri,Oregon fairybell,Liliaceae,F,Disporum hookeri
PRSM,Prosartes smithii,Smith's fairbell,Liliaceae,F,Disporum smithii
PRSU2,Prunus subcordata,Klamath plum,Rosaceae,S,
PRUNUS,Prunus sp.,,Rosaceae,S,
PRVID,Prunus virginiana var. demissa,western choke-cherry,Rosaceae,S,
PRVU,Prunella vulgaris,self-heal,Laminaceae,F,
PSJA2,Pseudostellaria jamesiana,sticky chickweed,Caryophyllaceae,F,
PSME,Pseudotsuga menziesii,Douglas-fir,Pinaceae,TC,
PSOR,Psilocarphus oregonus,Oregon woolyheads,Asteraceae,F,
PSSPS,Pseudoegneria spicata ssp. spicata,bluebunch wheatgrass,Poaceae,GG,
PSTH?,Pseudognaphalium thermale,slender cudweed,Asteraceae,F,Gnaphalium canescens ssp. thermale
PSTR?,Pseudotrillium rivale,Oregon trillium,Melanthiaceae,F,Trillium rivale
PTAN2,Pterospora andromedea,woodland pinedrops,Ericaceae,F,
PTAQ,Pteridium aquilinum,bracken fern,Dennstaedtiaceae,FN,
TOPAP3,Torreyochloa pallida var. pauciflora,pale false mannagrass,Poaceae,GG,Puccinellia pauciflora
PUTR2,Purshia tridentata,bitterbrush,Rosaceae,S,
PYPI2,Pyrola picta,leafless pyrola,Ericaceae,F,Pyrola aphylla
PYAS,Pyrola asarifolia,wintergreen,Ericaceae,F,
PYCO,Pyrus communis,common pear,Rosaceae,TB,
PYDE,Pyrola dentata,toothleaf pyrola,Ericaceae,F,
PYPI2,Pyrola picta,whitevein pyrola,Ericaceae,F,
ORSE,Orthelia secunda,one-sided pyrola,Ericaceae,F,Pyrola secunda
QUCH2,Quercus chrysolepis,canyon live oak,Fagaceae,TB,
QUGA4,Quercus garryana,Oregon white oak,Fagaceae,TB,
QUGAB,Quercus garryana var. breweri,Brewer's oak,Fagaceae,TB,
QUKE,Quercus kelloggii,California black oak,Fagaceae,TB,
QUSA2,Quercus sadleriana,Sadler or deer oak,Fagaceae,S,
QUVA,Quercus vaccinifolia,huckleberry oak,Fagaceae,S,
RAAL,Ranunculus alismifolius,plantain-leaved buttercup,Ranunculaceae,F,
RAAQ,Ranunculus aquatilis,water buttercup,Ranunculaceae,F,
RAAR,Raillardella argentea,silky raillardella,Asteraceae,F,
RAAU,Ranunculus austro-oregannus,Southern Oregon buttercup,Ranunculaceae,F,
RACA,Rafinesquia californica,California plumseed,Asteraceae,F,
RAFL2,Ranunculus flammula,greater creeping spearwort,Ranunculaceae,F,
RAHE,Ranunculus hebecarpus,downy buttercup,Ranunculaceae,F,
RAMU2,Ranunculus muricatus,prickleseed buttercup,Ranunculaceae,F,
RANUN,Ranunculus sp.,buttercup,Ranunculaceae,F,
RAOC,Ranunculus occidentalis,western buttercup,Ranunculaceae,F,
RAOR3,Ranunculus orthorhynchus,straightbeak buttercup,Ranumculaceae,F,
RARE3,Ranunculus repens,creeping buttercup,Ranunculaceae,F,
RASC2,Raillardella scaposa,green-leaved raillardella,Asteraceae,F,
RAUN,Ranunculus uncinatus,woodland buttercup,Ranunculaceae,F,
RHCA,Rhamnus californica,coffeeberry,Rhamnaceae,S,
RHCO18,Rhododendron columbianum,western Labrador tea,Ericaceae,S,Ledum glandulosum
RHIL,Rhamnus ilicifolia,redberry,Rhamnaceae,S,
RHMA3,Rhododendron macrophyllum,Pacific rhododendron,Ericaceae,S,
RHOC,Rhododendron occidentale,western azalea,Ericaceae,S,
RHPU,Rhamnus purshiana,cascara,Rhamnaceae,TB,
RHTR,Rhus trilobata,lemonade berry,Anacardiaceae,S,
RIBI,Ribes binominatum,Siskiyou gooseberry,Grossulariaceae,S,
RIBR,Ribes bracteosum,stink currant,Grossulariaceae,S,
RICE,Ribes cereum,squaw currant,Grossulariaceae,S,
RIINK,Ribes inerme var. klamathense,Klamath gooseberry,Grossulariaceae,S,
RILA,Ribes lacustre,swamp gooseberry,Grossulariaceae,S,
RILE2,Rigiopappus leptocladus,wireweed,Asteraceae,F,
RILO,Ribes lobbii,gummy gooseberry,Grossulariaceae,S,
RIMA2,Ribes marshallii,Marshall's gooseberry,Grossulariaceae,S,
RIROC,Ribes roezlii  var. cruentum,shineyleaf gooseberry,Grossulariaceae,S,
RISA,Ribes sanguineum,red current,Grossulariaceae,S,
RIVE,Ribes velutinum,desert goosberry,Grossulariaceae,S,
RIVI3,Ribes viscosissimum,sticky current,Grossulariaceae,S,
ROYA,Rosa yainacensis,dwarf rose,Rosaceae,S,Rosa bridgesii 
ROCA2,Rosa californica,California rose,Rosaceae,S,
ROCA3,Rosa canina,dog rose,Rosaceae,S,
ROCA6,Romanzoffia californica,California romanzoffia,Boraginaceae,F,
ROCU,Rorippa curvisiliqua,curvepod yellowcress,Brassicaceae,F,
ROEG,Rosa eglanteria,sweetbriar rose,Rosaceae,S,
ROGY,Rosa gymnocarpa,little wood rose,Rosaceae,S,
NAOF,Nasturtium officinale,watercress,Brassicaceae,F,Rorippa nasturtium-aquaticum
RONU,Rosa nutkana,nutka rose,Rosaceae,S,
ROPI2,Rosa pisocarpa,cluster rose,Rosaceae,S,
ROSI,Romanzoffia sitchensis,Sitka romanzoffia,Boraginaceae,F,
ROSP3,Rosa spithamea ,dwarf rose,Rosaceae,S,
