Code,Species,CommonName,Family,Form,Syn
ROTH,Romanzoffia thompsonii ,Thompson's mistmaiden,Boraginaceae,F,
ROYA,Rosa yainacensis,dwarf rose,Rosaceae,S,Rosa bridgesii 
RUAC3,Rumex acetosella,sheep sorrel,Polygonaceae,F,
RUBI,Rubus bifrons,Himalaya blackberry,Rosaceae,S,Rubus armeniacus
RUBI,Rubus bifrons,Himalaya blackberry,Rosaceae,S,Rubus armeniacus
RUGL7,Rudbeckia glaucescens,California cone flower,Asteraceae,F,Rudbeckia californica
RUCR,Rumex crispus,curly dock,Polygonaceae,F,
RUGL7,Rudbeckia glaucescens,California cone flower,Asteraceae,F,Rudbeckia californica
RUGL,Rubus glaucifolius,San Diego raspberry,Rosaceae,S,
RULA,Rubus laciniatus,evergreen blackberry,Rosaceae,S,
RULA2,Rubus lasiococcus,dwarf bramble,Rosaceae,S,
RULE,Rubus leucodermis,black raspberry,Rosaceae,S,
RUNI2,Rubus nivalis,snow bramble,Rosaceae,S,
RUOC2,Rudbeckia occidentalis,black-headed cone flower,Asteraceae,F,
RUOC3,Rumex occidentalis,western dock,Polygonaceae,F,
RUPA,Rubus parviflorus,thimbleberry,Rosaceae,S,
RUPH3,Rupertia physodes,forest scurfpea,Fabaceae,F,
RUSA,Rumex salicifolius,willow dock,Polygonaceae,F,
RUSP,Rubus spectabilis,salmon berry,Rosaceae,S,
RUUR,Rubus ursinus,"Pacific blackberry" or "dewberry",Rosaceae,S,
MIOD2,Micranthes odontoloma,mountain meadow saxifrage,Saxifragaceae,F,Saxifraga arguta
SABI3,Sanicula bipinnatifida,purple sanicle,Apiaceae,F,
SACR2,Sanicula crassicaulis ,Pacific snakeroot,Apiaceae,F,
SADE2,Salix delnortensis,Del Norte willow,Salicaceae,S,
SADO5,Satureja douglasii,yerba buena,Laminaceae,F,
SAEX,Salix exigua,coyote willow,Salixaceae,S,
SAFR5,Saxifragopsis fragarioides,strawberry saxifrage,Saxifragaceae,F,
SAGR5,Sanicula graveolens,Sierra snakeroot,Apiaceae,F,
MIHO?,Micranthes howellii,Howell's saxifrage,Saxifragaceae,F,Saxifraga howellii
MIIN?,Micranthes integrifolia,northwestern saxifrage,Saxifragaceae,F,Saxifraga integrifolia
SALA6,Salix lasiolepis,arroyo willow,Salicaceae,S,
SALA5,Salix lasiandra var. lasiandra,shining willow,Salicaceae,TB,Salix lucida ssp. lasiandra
SALIX,Salix sp.,willow,Salicaceae,S,
SALA5,Salix lasiandra var. lasiandra,shining willow,Salicaceae,TB,Salix lucida ssp. lasiandra
MIMA?,Micranthes marshallii,Marshall's saxifrage,Saxifragaceae,F,Saxifraga marshallii
SAME5,Sambucus mexicana ,blue elderberry,Adoxaceae,S,
SAME7,Saxifraga mertensiana,wood saxifrage,Saxifragaceae,F,
SAOF3,Sanguisorba officinalis,official burnet,Rosaceae,F,Sanguisorba microcephala
POSAP?,Poterium sanguisorba var. polygamum,garden burnet,Rosaceae,F,Sanguisorba minor ssp. muricata
POOC?,Poteridium occidentale,western  burnet,Rosaceae,F,Sanguisorba occidentalis
SAOF3,Sanguisorba officinalis,official burnet,Rosaceae,F,
MIOR2,Micranthes oregana,Oregon saxifrage,Saxifragaceae,F,Saxifraga oregana
SAPE7,Sanicula peckiana,Peck's snakeroot,Apiaceae,F,
SARA2,Sambucus racemosa,red elderberry,Adoxaceae,S,
SASA,Sagina saginoides,arctic pearlwort,Caryophyllaceae,F,
SASA5,Sarcodes sanguinea,snow plant,Ericaceae,F,
SASC,Salix scouleriana,Scouler's willow,Salicaceae,TB,
SASI2,Salix sitchensis,Sitka willow,Salixaceae,S,
SCACO2,Schoenoplectus acutus var. occidentalis,tule,Cyperaceae,GS,Scirpus acutus
SCAM6,Schoenoplectus americanus,three-square bulrush,Cyperaceae,GS,Scirpus americanus
SCAN2,Scleranthus annuus,German knotgrass,Caryophyllaceae,F,
SCAN4,Scutellaria antirrhinoides,narrowleaf skullcap,Laminaceae,F,
SCAR7,Schedonorus arundinaceus,tall fescue,Poaceae,GG,Festuca arundinacea
SCBO,Scribneria bolanderi,Scribner's grass,Poaceae,GG,
SCCO,Scirpus congdonii,Congdon's bulrush,Cyperaceae,GS,
BOFL3,Bolboschoenus fluviatilis,river bulrush,Cyperaceae,GS,Scirpus fluviatilis
SCHA2,Scoliopus hallii,Oregon fetid addertongue,Liliaceae,F,
SCIRP,Scirpus sp.,bulrush,Cyperaceae,GS,
SCLA,Scrophularia lanceolata,figwort,Scrophulariaceae,F,
SCMI2,Scirpus microcarpus,small-fruited bulrush,Cyperaceae,GS,
SCMU?,Sceptridium multifidum,meadow moonwort,Ophioglossaceae,FN,Botrychium multifidum
SCPE4,Scirpus pendulus,drooping bulrush,Cyperaceae,GS,
SCPR4,Schedonerus pratensis,meadow fescue,Poaceae,GG,Festuca pratensis
SCSI6,Scutellaria siphocampyloides,greyleaf scullcap,Lamiaceae,F,
SCTU2,Scutellaria tuberosa,Danny's skullcap,Laminaceae,F,
PABOB,Packera bolanderi var. bolanderi,Bolander's butterweed,Asteraceae,F,Senecio bolanderi
PACA15,Pacekera cana,wooly grounsel,Asteraceae,F,Pacekera cana
PAHE11,Packera hespera,Siskiyou butterweed,Asteraceae,F,Senecio hesperius
SEIN2,Senecio integerrimus,western butterweed,Asteraceae,F,
SEJA,Senecio jacobaea,tansy ragwort,Asteraceae,F,
SELA,Sedum lanceolatum,lance leaved sedum,Crassulaceae,F,
SELAH,Sedum laxum ssp. heckneri,Heckner's stonecrop,Crassulaceae,F,
SELAL2,Sedum laxum ssp. laxum,rosy siskiyou stonecrop,Crassulaceae,F,
PAMA35,Packera macounii,Siskiyou Mountain ragwort,Asteraceae,F,Senecio macounii
SEMO5,Sedum moranii,Rogue River stonecrop,Crassulaceae,F,
SEOBR,Sedum obtusatum ssp. retusum,obtuse stonecrop,Crassulaceae,F,
SEOB3,Sedum oblanceolatum,Applegate stonecrop,Crassulaceae,F,
SEOR6,Sericocarpus oregonensis,Oregon aster,Asteraceae,F,Aster oregonensis
SEOR,Sedum oreganum,Oregon stonecrop,Crassulaceae,F,
SEOR2,Sedum oregonense,creamy stonecrop,Crassulaceae,F,
SESTC,Sedum stenopetalum ssp. ciliosum,Coast Range stonecrop,Crassulaceae,F,Sedum radiatum ssp. ciliosum
SERAD,Sedum radiatum ssp. depauperatum,depauperate stonecrop,Crassulaceae,F,
SESP,Sedum spathulifolium,spatula-leaf stonecrop,Crassulaceae,F,
SESTS2,Sedum stenopetalum ssp. stenopetalum,narrow-leaved stonecrop,Crassulaceae,F,
SESTC,Sedum stenopetalum ssp. ciliosum,Coast Range stonecrop,Crassulaceae,F,Sedum radiatum ssp. ciliosum
SESY,Senecio sylvaticus,wood groundsel,Asteraceae,F,
SETR,Senecio triangularis,arrowleaf butterweed,Asteraceae,F,
SEVU,Senecio vulgaris,groundsel,Asteraceae,F,
SEWA,Selaginella wallacei,Wallace's spikemoss,Selaginellaceae,FN,
SHAR2,Sherardia arvensis,blue field madder,Rubiaceae,F,
SIAL2,Sisymbrium altissimum,tumbling mustard,Brassicaceae,F,
SIBE,Sisyrinchium bellum,California blue-eyed grass,Iridaceae,F,
SICAG,Silene campanulata ssp. glandulosa,gland catchfly,Caryophyllaceae,F,
SIDAL,Sidalcea sp.,catchfly,Malvaceae,F,
OLDOD,Olsynium douglasii var. douglasii,purple-eyed grass,Iridaceae,F,Sisyrinchium douglasii
SIHO,Silene hookeri,Hooker's Indian pink,Caryophyllaceae,F,
SIHOB,Silene hookeri ssp. bolanderi,,Caryophyllaceae,F,
SIID,Sisyrinchium idahoense,Idaho blue-eyed grass,Iridaceae,F,
SIMA2,Sidalcea malviflora,mallow sidalcea,Malvaceae,F,
SIMAA,Sidalcea malviflora ssp. asprella,Del Norte checkerbloom,Malvaceae,F,
SIORS,Sidalcea oregana ssp. spicata,Oregon checkermallow,Malvaceae,F,
SMCA2,Smilax californica,California smilax,Smilacaceae,V,
MARA7,Maianthemum racemosum,western false Solomon's seal,Liliaceae,F,
MAST4,Maianthemum stellatum,starry false Solomon's seal,Liliaceae,F,
SOAS,Sonchus asper,prickly sow thistle,Asteraceae,F,
SOEL4,Solidago elongata,meadow goldenrod,Asteraceae,F,Solidago canadensis
SODU,Solanum dulcamara,climbing nightshade,Solanaceae,F,
SOEL4,Solidago elongata,meadow goldenrod,Asteraceae,F,Solidago canadensis
SOLE3,Sophora leachiana,western sophora,Fabaceae,F,
SOOL,Sonchus oleraceus,common sow thistle,Asteraceae,F,
SOPA,Solanum parishii,Parish's nightshade,Solanaceae,V,
SOSI2,Sorbus sitchensis,Sitka mountain-ash,Rosaceae,S,
SOVE6,Solidago velutina,threenerve goldenrod,Asteraceae,F,
SPDO,Spiraea douglasii,Douglas' spirea,Rosaceae,S,
SPPO7,Spiranthes porrifolia,western ladies tresses,Orchidaceae,F,
SPRU,Spergularia rubra,purple sand spurry,Caryophyllaceae,F,
SPSP2,Spiraea splendens,rose meadowsweet,Rosaceae,S,
STACH,Stachys sp.,Hedge nettle,Lamiaceae,F,
STRI,Stachys rigida,rigid hedge-nettle,Laminaceae,F,Stachys ajugoides var. rigida
STAM2,Streptopus amplexifolius,clasping-leaf twisted-stalk,Liliaceae,F,
STBU,Stachys bullata,California hedge nettle,Lamiaceae,F,
STCO14,Stachys cooleyae,Cooley's hedge nettle,Lamiaceae,F,
STCR2,Stellaria crispa,curled starwort,Caryophyllaceae,F,
STELL,Stellaria sp.,chickweed,Caryophyllaceae,F,
STEPH,Stephanomeria sp.,stephanomeria,Asteraceae,F,
STHO,Streptanthus howellii,Howell's jewelflower,Brassicaceae,F,
STME2,Stellaria media,common chickweed,Caryophyllaceae,F,
STNI,Stellaria nitens,shinning chickweed,Caryophyllaceae,F,
ANOC3,Anticlea occidentale,western stenanthium,Melanthiaceae,F,Stenanthium occidentale
STRI,Stachys rigida,rigid hedge-nettle,Laminaceae,F,Stachys ajugoides var. rigida
STTO3,Streptanthus tortuosus,mountain jewel flower,Brassicaceae,F,
STVIP,Stephanomeria virgata ssp. pleurocarpa,tall stephanomeria,Asteraceae,F,
FRALN,Frasera albicaulis var. nitida,whitestem frasera,Gentianaceae,F,Swertia albicaulis var. nitida
SYAL,Symphoricarpos albus,common snowberry,Caprifoliaceae,S,
SYMO,Symphoricarpos mollis ,creeping snowberry,Caprifoliaceae,S,
SYRE,Synthyris reniformis,heartleaf snowqueen,Plantaginaceae,F,
SYSP,Symphyotrichum spathulatum,western mountain aster,Asteraceae,F,Aster occidentalis
TABR2,Taxus brevifolia,Pacific yew,Taxaceae,F,
TACA8,Taeniatherum caput-medusae,medusahead,Poaceae,GG,
TAGL,Tauschia glauca,glaucous tauschia,Apiaceae,F,
TAOF,Taraxacum officinale,dandelion,Asteraceae,F,
TEGR2,Tellima grandiflora,Alaska fringecup,Saxifragaceae,F,
TEGR?,Tetrapteron graciliflora,hill sun cup,Onagraceae,F,Camissonia graciliflora
THAR5,Thlaspi arvense,field pennycress,Brassicaceae,F,
THCU,Thysanocarpus curvipes,lace pod,Brassicaceae,F,
THERMO,Thermopsis sp.,,Fabaceae,F,
NOFEG,Noccaea fendleri ssp. glauca,Fendler's pennycress,Brassicaceae,F,Thlaspi fendleri/montanum
THGR6,Thermopsis gracilis,mountain thermopsis,Fabaceae,F,
THIN6,Thinopyrum intermedium ,intermediate wheatgrass,Poaceae,GG,Elytrigia intermedia
THGR6,Thermopsis gracilis,mountain thermopsis,Fabaceae,F,Thermopsis macrophylla var. venosa
NOFES,Noccaea fendleri ssp. siskiyouense,Siskiyou Mountain pennycress,Brassicaceae,F,Thlaspi montanum var. siskiyouense
THOC,Thalictrum occidentale,western meadowrue,Ranunculaceae,F,
THPL,Thuja plicata,western red cedar,Cupressaceae,TC,
THRA,Thysanocarpus radians,large fringe pod,Brassicaceae,F,
THSP,Thalictrum sparsflorum,few-flowered meadowrue,Ranunculaceae,F,
TITRT,Tiarella trifoliata var. trifoliata,trefoil foamflower,Saxifragaceae,F,
TITRU,Tiarella trifoliata var. unifoliata,coolwort foamflower,Saxifragaceae,F,
TOAR,Torilis arvensis,field hedge-parsley,Apiaceae,F,
TODI,Toxicodendron diversilobum,poison oak,Anacardiaceae,S,
TOEX?,Toxicoscordion exaltatum,giant deathcamas,Melanthiaceae,F,Zigadenus  exaltatus
TOFR?,Toxicoscordion fremontii,Fremont's deathcamas,Melanthiaceae,F,Zigadenus fremontii
TRGL5,Triantha glutinosa,western tofieldia,Tofieldiaceae,F,Tofieldia glutinosa
TOME,Tolmiea menziesii,bristle flower,Saxifragaceae,F,
TOMI?,Toxicoscordion micranthum,smallflower deathcamas,Melanthiaceae,F,Zigadenus micranthus
TONO,Torilis nodosa,unknown,Apiaceae,F,
TOPA?,Toxicoscordion paniculatum,foothill death camas,Melanthiaceae,F,Zigadenus paniculatus
TOPAP3,Torreyochloa pallida var. pauciflora,pale false mannagrass,Poaceae,GG,Puccinellia pauciflora
TOTE,Tonella tenella,small-flowered tonella,Plantaginaceae,F,
TOVE?,Toxicoscordion venenosum,death camas,Melanthiaceae,F,Zigadenus venenosus
TRAE,Triticum aestivum,wheat,Poaceae,GG,
TRAL4,Trillium albidum,sessile trillium,Melanthiaceae,F,
TRAL5,Trifolium albopurpureum,rancheria clover,Fabaceae,F,
TRAR4,Trifolium arvense,,Fabaceae,F,
TRBA,Trifolium barbigerum,bearded clover,Fabaceae,F,
TRBI2,Triodanis biflora,Venus' looking glass,Campanulaceae,F,
TRBR3,Trifolium breweri,forest clover,Fabaceae,F,
TRBR7,Triteleia bridgesii,Bridge's brodiaea,Asparagaceae,F,
TRCA21,Trisetum canescens,tall trisetum,Poaceae,GG,
TRCE2,Trisetum cernuum,nodding trisetum,Poaceae,GG,
TRCH2,Trillium chloropetalum,giant trillium,Melanthiaceae,F,
TRCI,Trifolium ciliolatum,tree clover,Fabaceae,F,
TRCR7,Triteleia crocea,yellow triteleia,Asparagaceae,F,
TRCY,Trifolium cyathiferum,bowl clover,Fabaceae,F,
TRDE,Trifolium depauperatum,poverty clover,Fabaceae,,
TRDU,Tragopogon dubius,yellow salsify,Asteraceae,F,
TRDU2,Trifolium dubium,"little hop clover" or "shamrock",Fabaceae,F,
TRER2,Trifolium eriocephalum,woolyhead clover,Fabaceae,F,
TRGL5,Triantha glutinosa,western tofieldia,Tofieldiaceae,F,Tofieldia glutinosa
TRHE,Triteleia hendersonii,Henderson's triteleia,Asparagaceae,F,
TRHEL,Triteleia hendersonii ssp. leachiae,Leach's tritelia,Asparagaceae,F,
TRHI4,Trifolium hirtum,,Fabaceae,F,
TRHO,Trifolium howellii,Howell's clover,Fabaceae,F,
TRHY3,Triteleia hyacinthina,white hyacinth,Asparagaceae,F,
TRIFO,Trifolium sp. ,clover,Fabaceae,F,
TRIN3,Trifolium incarnatum,crimson clover,Fabaceae,F,
TRLA6,Trientalis latifolia,western starflower,Primulaceae,F,
TRLA4,Trichostema lanceolatum,vinegarweed,Lamiaceae,F,
TRLO,Trifolium longipes,long-stalked clover,Fabaceae,F,
TRMA3,Trifolium macrocephalum,large headed clover,Fabaceae,F,
TRMI4,Trifolium microcephalum,maiden clover,Fabaceae,F,
TRMO2,Trifolium monanthum,mountain carpet clover,Fabaceae,F,
TROB,Trichostema oblongum,oblong bluecurls,Lamiaceae,F,
TROV2,Trillium ovatum,western wake-robin,Melanthiaceae,F,
TRPE4,Triodanis perfoliata,cupped venus looking glass,Campanulaceae,F,
TRPO,Tragopogon porrifolius,"purple salsify" or "oyster plant",Asteraceae,F,
TRPR2,Trifolium pratense,red clover,Fabaceae,F,
TRPU16,Tryphysaria pusilla,dwarf owls-clover,Orobancaceae,F,
TRRE3,Trifolium repens,white lawn clover,Fabaceae,F,
PSTR?,Pseudotrillium rivale,Oregon trillium,Melanthiaceae,F,Trillium rivale
TRSP2,Trisetum spicatum,spike trisetum,Poaceae,GG,
TRSU3,Trifolium subterraneum,subterranean clover,Fabaceae,F,
TRVA,Trifolium variegatum,white-topped clover,Fabaceae,F,
TRWI3,Trifolium willdenovii,tomcat clover,Fabaceae,F,
TRWO,Trifolium wormskioldii,cow clover,Fabaceae,F,
TSHE,Tsuga heterophylla,western hemlock,Pinaceae,TC,
TSME,Tsuga mertensiana,mountain hemlock,Pinaceae,TC,
TUGL,Turritis glabra,tower mustard,Brassicaceae,F,Arabis glabra
TYLA,Typha latifolia,common cattail,Typhaceae,F,
UMCA,Umbellularia californica,"California laurel" or "myrtlewood",Lauraceae,TB,
URDIG,Urtica dioica ssp. gracillis,American stinging nettle,Urticaceae,F,
URLI,Uropappus lindleyi,silver puffs,Asteraceae,F,
VAACP,Valeriana acutiloba var. pubicarpa,downy-fruited valerian,Valerianaceae,F,Valeriana capitata ssp. pubicarpa
VAACP,Valeriana acutiloba var. pubicarpa,downy-fruited valerian,Valerianaceae,F,Valeriana capitata ssp. pubicarpa
VACH2,Vancouveria chrysantha,yellow inside-out flower,Berberidaceae,F,
VAME,Vaccinium membranaceum,Siskiyou huckleberry,Ericaceae,S,Vaccinium coccineum
VAHE,Vancouveria hexandra,white inside-out flower,Berberidaceae,F,
VALO,Valerianella locusta,corn salad,Valerianaceae,F,
VAME,Vaccinium membranaceum,thin-leaved huckleberry,Ericaceae,S,
VAOV2,Vaccinium ovatum,evergreen huckleberry,Ericaceae,S,
VAPA,Vaccinium parvifolium,red huckleberry,Ericaceae,S,
VAPL,Vancouveria planipetala,small-flowered inside-out,Berberidaceae,F,
VASC,Vaccinium scoparium,grouseberry,Ericaceae,S,
VASI,Valeriana sitchensis,northern valerian,Valerianaceae,F,
VEAM2,Veronica americana,American brooklime,Plantaginaceae,F,
VEAN2,Veronica anagallis-aquatica,water speedwell,Plantaginaceae,F,
VEBL,Verbascum blattaria,moth mullein,Scrophulariaceae,F,
VECA2,Veratrum californicum,California false hellebore,Melanthiaceae,F,
VEDU,Ventenata dubia,unknown,Poaceae,GG,
VEIN,Veratrum insolitum,Siskiyou false hellebore,Melanthiaceae,F,
VELA,Verbena lasiostachys,western verbena,Verbenaceae,F,
VEPE3,Veronica persica,winter speedwell,Plantaginaceae,F,
VEPEX2,Veronica peregrina var. xalapensis,speedwell,Plantaginaceae,F,
VERAT,Veratrum sp.,false hellebore,Melanthiaceae,F,
VESC2,Veronica scutellata,skullcap speedwell,Plantaginaceae,F,
VETH,Verbascum thapsus,common mullein,Scrophulariaceae,F,
VEVI,Veratrum viride,American false hellebore,Melanthiaceae,F,
VEWO2,Veronica wormskjoldii,alpine brooklime,Plantaginaceae,F,
VIAD,Viola adunca,early blue violet,Violaceae,F,
VIAM,Vicia americana,American vetch,Fabaceae,F,
VIBA2,Viola bakeri,Baker's violet,Violaceae,F,
VICA5,Vitis californica,wild grape,Vitaceae,V,
VICR,Vicia cracca,cow vetch,Fabaceae,F,
VICU2,Viola cuneata,wedgeleaf violet,Violaceae,F,
VIDO,Viola douglasii,Douglas's violet,Violaceae,F,
VIEL,Viburnum ellipticum,oval-leaved viburnum,Adoxaceae,F,
VINIG,Vicia nigricans var. gigantea,giant vetch,Fabaceae,F,Vicia gigantea
VIGL,Viola glabella,stream violet,Violaceae,F,
VIHA,Viola hallii,Hall's violet,Violaceae,F,
VIHO,Viola howellii,Howell's violet,Violaceae,F,
VILOI2,Viola lobata ssp. integrifolia,deltoid violet,Violaceae,F,
VILOL2,Viola lobata ssp. lobata,pine violet,Violaceae,F,
VIMA,Vinca major,periwinkle,Apocynaceae,V,
VINIG,Vicia nigricans var. gigantea,giant vetch,Fabaceae,F,Vicia gigantea
VIBA2,Viola bakeri,Baker's violet,Violaceae,F,Viola nuttallii
VIOC,Viola ocellata,two-eyed violet,Violaceae,F,
VIOLA,Viola sp.,violet species,Violaceae,F,
VIOR,Viola orbiculata,round-leaved violet,Violaceae,F,
VIPA4,Viola palustris,blue-runner violet,Violaceae,F,
VIPRL,Viola praemorsa ssp. linguifolia,upland yellow violet,Violaceae,F,
VIPRO2,Viola primulifolia ssp. occidentalis,western bog violet,Violaceae,F,
VIPU4,Viola purpurea,goosefoot violet,Violaceae,F,
VISA,Vicia sativa,Spring vetch,Fabaceae,F,
VISE3,Viola sempervirens,redwoods violet,Violaceae,F,
VISH,Viola sheltonii,Shelton's violet,Violaceae,F,
VIVI,Vicia villosa,annual cow vetch,Fabaceae,F,
VUBR,Vulpia bromoides,six-weeks fescue,Poaceae,GG,
VUMI,Vulpia microstachys,Nuttall's fescue,Poaceae,GG,
VUMY,Vulpia myuros,rattail fescue,Poaceae,GG,
WHMO,Whipplea modesta,whipplevine,Hydrangeaceae,F,
WOFI,Woodwardia fimbriata,giant chain-fern,Blechnaceae,FN,
WOOR,Woodsia oregana,Oregon cliff fern,Woodsiaceae,FN,
WOSC,Woodsia scopulina,rocky mountain woodsia,Woodsiaceae,FN,
WYAN,Wyethia angustifolia,narrowleaf mule ears,Asteraceae,F,
XETE,Xerophyllum tenax,common beargrass,Melanthiaceae,F,
YAMI,Yabea microcarpa,western hedge-parsley,Apiaceae,F,
ZEMU?,Zeltnera muehlenbergii,Muehlenberg's centaury,Gentianaceae,F,Centaurium muehlenbergii
TOEX?,Toxicoscordion exaltatum,giant deathcamas,Melanthiaceae,F,Zigadenus  exaltatus
TOFR?,Toxicoscordion fremontii,Fremont's deathcamas,Melanthiaceae,F,Zigadenus fremontii
TOMI?,Toxicoscordion micranthum,smallflower deathcamas,Melanthiaceae,F,Zigadenus micranthus
TOPA?,Toxicoscordion paniculatum,foothill death camas,Melanthiaceae,F,Zigadenus paniculatus
TOVE?,Toxicoscordion venenosum,death camas,Melanthiaceae,F,Zigadenus venenosus
